項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
13	6963	13：東京都	三吉野遺跡群井戸端地区	東京都西多摩郡日の出町大字平井字三吉野	1区　SX06	炭化物	T	h	縄文時代中期初頭	五領ヶ台式	B	IAAA-92155	AMS法	4440	40	4437	34	-24.94	0.63	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2010	三吉野遺跡群井戸端地区の自然化学分析調査成果報告	p11-22	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
14	6959	13：東京都	三吉野遺跡群井戸端地区	東京都西多摩郡日の出町大字平井字三吉野	1区　SK41	炭化物	T	h	縄文時代早期頃	----	B	IAAA-82347	AMS法	10100	50	10097	51	-25.04	0.76	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2010	三吉野遺跡群井戸端地区の自然化学分析調査成果報告	p11-22	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
15	7645	13：東京都	三吉野遺跡群桜木地区	東京都西多摩郡日の出町	1区2面　SK41土坑	炭化物(土壌混じり)	T	h	不明	----	A,B,C,D,E,F,G,H	IAAA-82347	AMS法	10100	50	10097	51	-25.04	0.76	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2009	南足下田遺跡　自然科学分析	40-49	----	日の出町埋蔵文化財調査報告書第7集　日の出町埋蔵文化財調査年報(平成15年度〜平成20年度)	日の出町教育委員会
16	6966	13：東京都	三吉野遺跡群桜木地区	東京都西多摩郡日の出町大字平井字三吉野	平成17年度FトレンチSX02集石	炭化材	T	f	縄文時代草創期後葉?	----	B	IAAA-92942	AMS法	4500	30	----	----	----	----	-18.7	小林謙一	加速器分析研究所	2010	縄文時代の年代と三吉野遺跡群	88-100	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
17	6965	13：東京都	三吉野遺跡群桜木地区	東京都西多摩郡日の出町大字平井字三吉野	1区1面　SX01集石(草創期面)	炭化物	T	h	縄文時代草創期	----	B	IAAA-92941	AMS法	4540	30	----	----	----	----	-19	小林謙一	加速器分析研究所	2010	縄文時代の年代と三吉野遺跡群	88-100	----	平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-	日の出町教育委員会
18	7126	13：東京都	三矢田遺跡	町田市真光寺町	10号竪穴状遺構　下位焼土層　南北ベルト3d層	炭化種子(オニグルミ)	T	g	縄文時代前期	----	B	Gak-15139	β線法	4800	300	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1991	真光寺･広袴遺跡群自然科学分析報告	602-603	----	真光寺･広袴遺跡群Ⅵ　三矢田遺跡ー遺物･考察編ー	鶴川第二地区遺跡調査会
19	4491	13：東京都	三矢田遺跡	町田市真光寺町	J10住居跡,床上	土器付着物,焦,胴内	O	q	縄文時代中期	加曽利E1式	B	IAAA-30068	AMS法	4340	40	----	----	-23.08	1.01	----	学術創成研究グループ	加速器分析研究所	2009	地域別測定データ	139-524	TMM-49-3	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
20	7115	13：東京都	上野忍岡遺跡群　上野動物園ゾウ舎地点	台東区上野公園	45号遺構(竪穴住居)　カマド付近	炭化材(広葉樹環孔材?)	T	f	古墳時代前期	鬼高期	D	IAAA-31117	AMS法	1610	40	----	----	-26.7	0.9	----	小林謙一	加速器分析研究所	2004	上野忍岡遺跡群古墳時代住居出土炭化材の14C年代測定	21-22	----	台東区埋蔵文化財発掘調査報告書24　上野忍岡遺跡群上野動物園ゾウ舎地点	台東区文化財調査会
21	7116	13：東京都	上野忍岡遺跡群　上野動物園ゾウ舎地点	台東区上野公園	45号遺構(竪穴住居)　住居南西隅付近	炭化材(広葉樹環孔材?)	T	f	古墳時代前期	鬼高期	D	IAAA-31118	AMS法	1530	40	----	----	-26.3	0.6	----	小林謙一	加速器分析研究所	2004	上野忍岡遺跡群古墳時代住居出土炭化材の14C年代測定	21-22	----	台東区埋蔵文化財発掘調査報告書24　上野忍岡遺跡群上野動物園ゾウ舎地点	台東区文化財調査会
22	7114	13：東京都	上野忍岡遺跡群　上野動物園ゾウ舎地点	台東区上野公園	45号遺構(竪穴住居)　カマド付近	炭化材(広葉樹環孔材?)	T	f	古墳時代前期	鬼高期	D	IAAA-31116	AMS法	1540	40	----	----	-26.1	0.9	----	小林謙一	加速器分析研究所	2004	上野忍岡遺跡群古墳時代住居出土炭化材の14C年代測定	21-22	----	台東区埋蔵文化財発掘調査報告書24　上野忍岡遺跡群上野動物園ゾウ舎地点	台東区文化財調査会
23	7113	13：東京都	上野忍岡遺跡群　国立国会図書館支部上野図書館地点	台東区上野公園	第69号土坑　2層炭化物層	炭化物(菌核?)	T	h	近世	18世紀第3四半期頃	G	不明	AMS法	200	40	----	----	----	----	-26.6	小林謙一	Beta Analytic Inc.	2001	上野忍岡遺跡群出土試料の放射性炭素年代測定結果について	113-118	----	台東区埋蔵文化財発掘調査報告書15　上野忍岡遺跡群国立国会図書館支部上野図書館地点Ⅱ	台東区文化財調査会
24	7112	13：東京都	上野忍岡遺跡群　国立国会図書館支部上野図書館地点	台東区上野公園	B区第1号遺構　覆土中層　鉄釘付着	木材(針葉樹･スギ?)	T	d	中世〜近世	----	F,G	Beta-163011	AMS法	450	40	----	----	----	----	-25.2	小林謙一	Beta Analytic Inc.	2001	上野忍岡遺跡群出土試料の放射性炭素年代測定結果について	113-118	----	台東区埋蔵文化財発掘調査報告書15　上野忍岡遺跡群国立国会図書館支部上野図書館地点Ⅱ	台東区文化財調査会
25	6566	13：東京都	下原B遺跡	三鷹市大沢	焼土遺構SFX-3	炭化材(カラマツまたはトウヒ属)	T	f	旧石器時代	----	A	PAL-937	β線法	13590	160	----	----	----	----	----	パリノ・サーヴェイ	パリノ・サーヴェイ	2002	自然科学分析	103-110	----	三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ	東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
26	6569	13：東京都	下原B遺跡	三鷹市大沢	SS-5	炭化材(コナラ属コナラ亜属クヌギ節･クリ)	T	f	縄文時代	----	B	PAL-940	β線法	4660	110	----	----	----	----	----	パリノ・サーヴェイ	パリノ・サーヴェイ	2002	自然科学分析	103-110	----	三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ	東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
27	6568	13：東京都	下原B遺跡	三鷹市大沢	SS-3	炭化材(コナラ属コナラ亜属クヌギ節)	T	f	縄文時代	----	B	PAL-939	β線法	4800	80	----	----	----	----	----	パリノ・サーヴェイ	パリノ・サーヴェイ	2002	自然科学分析	103-110	----	三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ	東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
28	6567	13：東京都	下原B遺跡	三鷹市大沢	焼土遺構SFX-3	炭化材(カラマツまたはトウヒ属)	T	f	旧石器時代	----	A	PAL-938	β線法	13880	170	----	----	----	----	----	パリノ・サーヴェイ	パリノ・サーヴェイ	2002	自然科学分析	103-110	----	三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ	東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
29	6565	13：東京都	下原B遺跡	三鷹市大沢	焼土遺構SFX-3	炭化材(カラマツまたはトウヒ属)	T	f	旧石器時代	----	A	PAL-936	β線法	14050	250	----	----	----	----	----	パリノ・サーヴェイ	パリノ・サーヴェイ	2002	自然科学分析	103-110	----	三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ	東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
30	6544	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS009 2層	炭化材(広葉樹)	T	f	縄文時代中期初頭〜中期中葉	----	B	PLD-19716	AMS法	4395	20	4397	21	-24.42	0.15	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
31	6549	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS010 2層	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期前葉〜中期後葉	----	B	PLD-17122	AMS法	4530	25	4530	25	-28.36	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
32	6548	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS010 2層	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期前葉〜中期後葉	----	B	PLD-17121	AMS法	4530	25	4528	26	-29.19	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
33	6547	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS010 2層	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期前葉〜中期後葉	----	B	PLD-17120	AMS法	4535	25	4537	25	-27.6	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
34	6546	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS017 2層	炭化材(コナラ属コナラ節)	T	f	縄文時代中期初頭〜中期後葉	----	B	PLD-17127	AMS法	4485	25	4485	26	-28.41	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
35	6545	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS017 2層	炭化材(クリ)	T	f	縄文時代中期初頭〜中期後葉	----	B	PLD-17126	AMS法	4495	25	4496	25	-26.84	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
36	6543	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS009 3層	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期初頭〜中期中葉	----	B	PLD-17119	AMS法	4515	25	4514	25	-27.68	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
37	6542	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS008 3層	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期初頭〜中期中葉	----	B	PLD-17118	AMS法	4545	25	4546	25	-28.65	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
38	6541	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS021 2層	炭化材(クリ)	T	f	不明	----	A,B,C,D,E,F,G,H	PLD-17128	AMS法	4495	25	4493	27	-26.35	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
39	6540	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS004 2層	炭化材(クリ)	T	f	不明	----	A,B,C,D,E,F,G,H	PLD-17115	AMS法	4345	25	4346	25	-26.06	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
40	6539	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS001 2層	炭化材(ケヤキ)	T	f	不明	----	A,B,C,D,E,F,G,H	PLD-17114	AMS法	4545	25	4545	26	-25.56	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
41	6538	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS006 2層　9-13年輪	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期初頭〜中期中葉	----	B	PLD-17117	AMS法	4550	25	4551	25	-28.61	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	ウイグルマッチング	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
42	6560	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SK001 1層	炭化種実(オニグルミ核)	T	g	縄文時代中期後葉	----	B	PLD-19717	AMS法	4040	20	4042	21	-23.88	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
43	6564	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SU003 2層	炭化材(クリ)	T	f	縄文時代中期後葉	----	B	PLD-19712	AMS法	4040	20	4041	21	-26.82	0.12	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
44	6563	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SU003 2層	炭化種実(オニグルミ核)	T	g	縄文時代中期後葉	----	B	PLD-19711	AMS法	4050	20	4052	20	-25.14	0.2	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
45	6562	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SU002	炭化材(クリ)	T	f	縄文時代中期後葉	----	B	PLD-19720	AMS法	4120	20	4118	21	-25.62	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
46	6561	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SK001 1層	炭化種実(オニグルミ核)	T	g	縄文時代中期後葉	----	B	PLD-19718	AMS法	4040	20	4041	20	-26.15	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
47	6559	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SI001	炭化材(キハダ)	T	f	縄文時代中期後葉	----	B	PLD-17131	AMS法	4115	25	4114	25	-26.51	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
48	6558	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SI001	炭化材(キハダ)	T	f	縄文時代中期後葉	----	B	PLD-17130	AMS法	4050	25	4051	24	-25.97	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
49	6557	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SI001	炭化材(キハダ)	T	f	縄文時代中期後葉	----	B	PLD-17129	AMS法	4055	25	4055	24	-24.53	0.1	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
50	6556	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS015 3層	炭化材(クリ)	T	f	縄文時代中期中葉	----	B	PLD-19719	AMS法	4405	20	4406	22	-26.63	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
51	6555	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS013 4層	炭化材(広葉樹節)	T	f	縄文時代中期中葉	----	B	PLD-17125	AMS法	4435	25	4436	25	-25.47	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
52	6554	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS013 2層	炭化材(クリ)	T	f	縄文時代中期中葉	----	B	PLD-17124	AMS法	4445	25	4443	25	-28.17	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
53	6553	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS013 2層	炭化材(クリ)	T	f	縄文時代中期中葉	----	B	PLD-17123	AMS法	4455	25	4456	25	-25.37	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
54	6552	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS012 3層	炭化材(オニグルミ)	T	f	縄文時代中期中葉	----	B	PLD-19715	AMS法	4470	25	4471	24	-25.42	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
55	6551	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS012 3層	炭化材(オニグルミ)	T	f	縄文時代中期中葉	----	B	PLD-19714	AMS法	4410	20	4412	21	-26.99	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
56	6550	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS012 3層	炭化材(オニグルミ)	T	f	縄文時代中期中葉	----	B	PLD-19713	AMS法	4470	20	4468	21	-24.67	0.12	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	----	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
57	6537	13：東京都	下原･富士見町遺跡	三鷹市大沢･調布市富士見町	SS006 2層　最終形成年輪-8年輪	炭化材(コナラ属クヌギ節)	T	f	縄文時代中期初頭〜中期中葉	----	B	PLD-17116	AMS法	4520	25	4519	25	-26.34	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2013	下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定	174-182	ウイグルマッチング	明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ	学校法人 明治大学
58	3722	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅱ,主要調査地点D,E9,1631,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	堀之内2式	B	MTC-06217	AMS法	3735	40	----	----	-24.3	----	-25.5	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-14	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
59	3724	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,試掘トレンチ6,No無し	土器付着物,吹,口縁外・胴外	O	q	縄文時代後期	加曽利B2式	B	MTC-06218	AMS法	3345	40	----	----	-25.9	----	-26.7	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-22	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
